hotel_name;region;ratings;price;start_date;end_date
티라 호텔;성산읍, 서귀포;8.6;123582;2023-07-22 12:38:30.798332;2023-07-23 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;56966;2023-07-22 12:38:30.798332;2023-07-23 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;156750;2023-07-22 12:38:30.798332;2023-07-23 12:38:30.798332
와이리조트 제주;안덕면, 서귀포;8.6;146286;2023-07-22 12:38:30.798332;2023-07-23 12:38:30.798332
제주 아길라 호텔 오시아노 스위츠;한림읍, 제주;8.0;147060;2023-07-22 12:38:30.798332;2023-07-23 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
켄싱턴리조트 서귀포;서귀포;7.4;430520;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
코쿤 호텔;애월읍, 제주;9.2;206400;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
타마라 제주 호텔;서귀포시, 서귀포;8.2;68782;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
라마다 제주시티호텔;제주 시내, 제주;8.0;155750;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
그랜드 하얏트 제주;제주 시내, 제주;8.9;796000;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
롯데시티호텔 제주;제주 시내, 제주;8.4;291555;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
글로스터 호텔 제주;제주 시내, 제주;8.2;170469;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
신신호텔 천지연;서귀포시, 서귀포;7.7;65558;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
골드원 호텔&스위트;서귀포시, 서귀포;8.4;538001;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
오션스위츠 제주 호텔;제주 시내, 제주;7.9;210000;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
호텔 케니 서귀포;서귀포시, 서귀포;8.1;71139;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;699429;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;73260;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
호텔난타 제주;제주;8.5;154800;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
엘린 호텔;제주 시내, 제주;8.5;110000;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
호텔 시리우스;제주 시내, 제주;8.2;193861;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
더 그랜드 섬오름;서귀포시, 서귀포;8.4;373679;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
제주 아이브 호텔 앤 리조트;서귀포;8.0;139707;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
벨룸리조트;서귀포;8.9;594432;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
WE호텔 제주;서귀포;8.5;559775;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;123840;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;318993;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
와이리조트 제주;안덕면, 서귀포;8.6;292572;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
신신호텔 제주공항;제주 시내, 제주;7.5;86449;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
신라스테이 제주;제주 시내, 제주;7.8;212355;2023-07-22 12:38:30.798332;2023-07-24 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
켄싱턴리조트 서귀포;서귀포;7.4;645780;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
호텔 케니 서귀포;서귀포시, 서귀포;8.1;108326;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
코쿤 호텔;애월읍, 제주;9.2;301000;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
타마라 제주 호텔;서귀포시, 서귀포;8.2;101826;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
라마다 제주시티호텔;제주 시내, 제주;8.0;234252;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
그랜드 하얏트 제주;제주 시내, 제주;8.9;995000;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
롯데시티호텔 제주;제주 시내, 제주;8.4;439890;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
신신호텔 천지연;서귀포시, 서귀포;7.7;98337;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
골드원 호텔&스위트;서귀포시, 서귀포;8.4;792000;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
오션스위츠 제주 호텔;제주 시내, 제주;7.9;315000;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;1037143;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;109890;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
호텔난타 제주;제주;8.5;232200;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
엘린 호텔;제주 시내, 제주;8.5;165000;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
호텔 시리우스;제주 시내, 제주;8.2;344740;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
더 그랜드 섬오름;서귀포시, 서귀포;8.4;560519;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
제주 아이브 호텔 앤 리조트;서귀포;8.0;235296;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
벨룸리조트;서귀포;8.9;990720;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
WE호텔 제주;서귀포;8.5;789510;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;188237;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;391863;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
와이리조트 제주;안덕면, 서귀포;8.6;438858;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
신신호텔 제주공항;제주 시내, 제주;7.5;131250;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
신라스테이 제주;제주 시내, 제주;7.8;321255;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
제주오리엔탈호텔 & 카지노;제주 시내, 제주;7.5;212535;2023-07-22 12:38:30.798332;2023-07-25 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
켄싱턴리조트 서귀포;서귀포;7.4;851640;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
스위트 호텔 제주;중문 해수욕장, 서귀포;8.1;701932;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
호텔 케니 서귀포;서귀포시, 서귀포;8.1;145512;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
코쿤 호텔;애월읍, 제주;9.2;395600;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
더비치펜션;제주 시내, 제주;8.5;239166;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
타마라 제주 호텔;서귀포시, 서귀포;8.2;160000;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
라마다 제주시티호텔;제주 시내, 제주;8.0;327105;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
그랜드 하얏트 제주;제주 시내, 제주;8.9;1393000;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
롯데시티호텔 제주;제주 시내, 제주;8.4;583110;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
신신호텔 천지연;서귀포시, 서귀포;7.7;131116;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
골드원 호텔&스위트;서귀포시, 서귀포;8.4;1014878;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
오션스위츠 제주 호텔;제주 시내, 제주;7.9;414175;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;1350001;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;146520;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
호텔난타 제주;제주;8.5;309600;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
엘린 호텔;제주 시내, 제주;8.5;220000;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
더 그랜드 섬오름;서귀포시, 서귀포;8.4;747359;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
제주 아이브 호텔 앤 리조트;서귀포;8.0;330885;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
벨룸리조트;서귀포;8.9;1387008;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
WE호텔 제주;서귀포;8.5;1080838;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;346752;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;655628;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
신신호텔 제주공항;제주 시내, 제주;7.5;174999;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
신라스테이 제주;제주 시내, 제주;7.8;441045;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
제주오리엔탈호텔 & 카지노;제주 시내, 제주;7.5;302720;2023-07-22 12:38:30.798332;2023-07-26 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
켄싱턴리조트 서귀포;서귀포;7.4;1057500;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
스위트 호텔 제주;중문 해수욕장, 서귀포;8.1;893970;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
그림리조트;제주 시내, 제주;7.2;311148;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
제주 필 하우스;조천읍, 제주;7.8;270900;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
호텔 케니 서귀포;서귀포시, 서귀포;8.1;182698;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
더비치펜션;제주 시내, 제주;8.5;298957;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
타마라 제주 호텔;서귀포시, 서귀포;8.2;200000;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
라마다 제주시티호텔;제주 시내, 제주;8.0;465124;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
그랜드 하얏트 제주;제주 시내, 제주;8.9;1791000;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
롯데시티호텔 제주;제주 시내, 제주;8.4;736560;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
신신호텔 천지연;서귀포시, 서귀포;7.7;163895;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
골드원 호텔&스위트;서귀포시, 서귀포;8.4;1295322;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
오션스위츠 제주 호텔;제주 시내, 제주;7.9;529681;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;1710001;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;183150;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
호텔난타 제주;제주;8.5;387000;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
엘린 호텔;제주 시내, 제주;8.5;275000;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
더 그랜드 섬오름;서귀포시, 서귀포;8.4;1140706;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
제주 아이브 호텔 앤 리조트;서귀포;8.0;426474;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
벨룸리조트;서귀포;8.9;1727568;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
WE호텔 제주;서귀포;8.5;1392845;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;433440;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;675573;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
신신호텔 제주공항;제주 시내, 제주;7.5;216471;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
신라스테이 제주;제주 시내, 제주;7.8;560835;2023-07-22 12:38:30.798332;2023-07-27 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
신라스테이 제주;제주 시내, 제주;7.8;686070;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
스위트 호텔 제주;중문 해수욕장, 서귀포;8.1;1086008;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
그림리조트;제주 시내, 제주;7.2;378486;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
제주 필 하우스;조천읍, 제주;7.8;325080;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
호텔 케니 서귀포;서귀포시, 서귀포;8.1;219885;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
더비치펜션;제주 시내, 제주;8.5;358749;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
타마라 제주 호텔;서귀포시, 서귀포;8.2;240000;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
라마다 제주시티호텔;제주 시내, 제주;8.0;578224;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
그랜드 하얏트 제주;제주 시내, 제주;8.9;2189000;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
롯데시티호텔 제주;제주 시내, 제주;8.4;920700;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
신신호텔 천지연;서귀포시, 서귀포;7.7;196673;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
골드원 호텔&스위트;서귀포시, 서귀포;8.4;1575779;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
오션스위츠 제주 호텔;제주 시내, 제주;7.9;637277;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;2070001;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;219780;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
호텔난타 제주;제주;8.5;464400;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
엘린 호텔;제주 시내, 제주;8.5;330000;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
