Title,Total Score,Address,Menu
미영이네식당,4.7,제주 서귀포시 대정읍 하모리 770-29,해산물 요리
남양수산,4.6,제주 서귀포시 성산읍 고성리 1191-6,해산물 요리
상춘재,4.5,제주 제주시 아라일동 6080-1,한정식 / 백반 / 정통 한식
숙성도,4.5,제주 제주시 노형동 941-2,고기 요리
논짓물,4.5,제주 제주시 연동 282-21,한정식 / 백반 / 정통 한식
